device_id,bundle_id,sessionID_inEpoch,number_signals,ave_lat,ave_lon,ave_horizontalAcc,wifi_perc,first_timestamp,last_timestamp,duration,date
a.15B69200-4E8E-4722-944E-CDDDA570D87E,iphone.thescore.com,1580515472,2,25.781899333650003,-80.23229459435,64.26360906549999,1.0,1580515473,1580515482,0.0025,2020-02-01
a.0BA55ABF-F9E8-470B-A868-AFBD72DA6C07,iphone.thescore.com,1580586041,2,40.84979710595,-73.93493954019999,22.05388684885,0.0,1580586050,1580586051,2.7777778E-4,2020-02-01
a.15B69200-4E8E-4722-944E-CDDDA570D87E,iphone.thescore.com,1580581065,1,25.7817218497,-80.2322086043,30.4533725889,1.0,1580581075,1580581075,0.0,2020-02-01
a.0BA55ABF-F9E8-470B-A868-AFBD72DA6C07,iphone.thescore.com,1580584853,1,40.8499480935,-73.935182325,65.0,0.0,1580584862,1580584862,0.0,2020-02-01
a.74AFE7F0-CF39-441A-87CE-8BCEF9B3F732,com.apnews.ipad.mobilenewsdevel,1580498828,6,40.11161166666667,-75.324853,10.0,1.0,1580498792,1580498800,0.0022222223,2020-02-01
a.15B69200-4E8E-4722-944E-CDDDA570D87E,iphone.thescore.com,1580591475,1,25.781783674,-80.2322787246,35.3080346876,1.0,1580591484,1580591484,0.0,2020-02-01
a.15B69200-4E8E-4722-944E-CDDDA570D87E,iphone.thescore.com,1580579372,1,25.808339427,-80.2651725798,9.56325642805,0.0,1580579381,1580579381,0.0,2020-02-01
a.0BA55ABF-F9E8-470B-A868-AFBD72DA6C07,iphone.thescore.com,1580566849,5,40.850443373960005,-73.918971782,16.33562564472,1.0,1580566854,1580566858,0.0011111111,2020-02-01
a.FE48BFAD-091A-4AD9-BD32-F78A43CA24D0,com.apnews.ipad.mobilenewsdevel,1554799516,2,34.001007,-84.665734,65.0,1.0,1554799517,1554799517,0.0,2020-02-01
a.FE48BFAD-091A-4AD9-BD32-F78A43CA24D0,com.apnews.ipad.mobilenewsdevel,1551319369,2,34.000946,-84.665824,65.0,1.0,1551319365,1551319365,0.0,2020-02-01
a.0BA55ABF-F9E8-470B-A868-AFBD72DA6C07,iphone.thescore.com,1580519809,1,40.845491176,-73.9389663564,56.2824842342,0.0,1580519819,1580519819,0.0,2020-02-01
a.15B69200-4E8E-4722-944E-CDDDA570D87E,iphone.thescore.com,1580582781,2,25.7818167242,-80.2322262927,54.23358079855,1.0,1580582777,1580582791,0.003888889,2020-02-01
a.74AFE7F0-CF39-441A-87CE-8BCEF9B3F732,com.apnews.ipad.mobilenewsdevel,1580394365,2,40.111731,-75.324972,10.0,1.0,1580394373,1580394373,0.0,2020-02-01
a.15B69200-4E8E-4722-944E-CDDDA570D87E,iphone.thescore.com,1580518357,1,25.7818492372,-80.2322037462,14.4643665406,1.0,1580518366,1580518366,0.0,2020-02-01
a.15B69200-4E8E-4722-944E-CDDDA570D87E,iphone.thescore.com,1580573330,1,25.7731061614,-80.3147432284,15.9233289008,1.0,1580573339,1580573339,0.0,2020-02-01
a.0BA55ABF-F9E8-470B-A868-AFBD72DA6C07,iphone.thescore.com,1580522525,1,40.8479418495,-73.93652288,10.5977863859,0.0,1580522534,1580522534,0.0,2020-02-01
a.8FE7EDDE-4F22-4373-80A0-85C4B142988C,com.mobestream.keyring,1580591564,2,41.808607047449996,-71.40501473575,10.0,0.0,1580591564,1580591565,2.7777778E-4,2020-02-01
a.0BA55ABF-F9E8-470B-A868-AFBD72DA6C07,iphone.thescore.com,1580525076,1,40.8503991174,-73.9187946824,23.5390147556,1.0,1580525086,1580525086,0.0,2020-02-01
a.FE48BFAD-091A-4AD9-BD32-F78A43CA24D0,com.apnews.ipad.mobilenewsdevel,1535127334,4,33.8095834114,-84.3720628078,65.0,0.0,1535127241,1535127342,0.028055556,2020-02-01
a.8FE7EDDE-4F22-4373-80A0-85C4B142988C,com.mobestream.keyring,1580584397,2,41.8166321637,-71.4116840065,10.0,0.0,1580584397,1580584399,5.5555557E-4,2020-02-01
a.FE48BFAD-091A-4AD9-BD32-F78A43CA24D0,com.apnews.ipad.mobilenewsdevel,1530022824,2,33.8096770937,-84.3721048828,65.0,0.0,1530022825,1530022825,0.0,2020-02-01
a.15B69200-4E8E-4722-944E-CDDDA570D87E,iphone.thescore.com,1580576856,2,25.777274686600002,-80.30689023945,41.2022369707,0.0,1580576857,1580576867,0.0027777778,2020-02-01
a.15B69200-4E8E-4722-944E-CDDDA570D87E,iphone.thescore.com,1580582539,1,25.7818685958,-80.2322567032,18.316547776,1.0,1580582549,1580582549,0.0,2020-02-01
a.0BA55ABF-F9E8-470B-A868-AFBD72DA6C07,iphone.thescore.com,1580585048,1,40.8499673788,-73.9350458258,65.0,0.0,1580585056,1580585056,0.0,2020-02-01
a.0BA55ABF-F9E8-470B-A868-AFBD72DA6C07,iphone.thescore.com,1580516441,1,40.8454431799,-73.9387920961,65.0,0.0,1580516449,1580516449,0.0,2020-02-01
